发病部位,疾病名称,证型名称,病机要点,辨证要点,临床表现,治法,代表方剂,发病概率,治疗难度
肺系,咳嗽,肝火犯肺证,肝郁化火，上逆侮肺,上气咳逆阵作，咳时面赤，咽干口苦，痰少质黏，胸胁胀痛，舌红或舌边红，舌苔薄黄少津，脉弦数,上气咳逆阵作，咳时面赤，咽干口苦，常感痰滞咽喉而咯之难出，量少质黏，或如絮条，胸胁胀痛，咳时引痛，症状可随情绪波动而增减，舌红或舌边红，舌苔薄黄少津，脉弦数,清肺泻肝，顺气降火,黛蛤散合黄芩泻白散,少见,较难
肺系,咳嗽,肺阴亏耗证,肺阴亏虚，虚热内灼，肺失润降,干咳，咳声短促，痰少黏白，或痰中带血丝，或声音逐渐嘶哑，舌红少苔，脉细数,干咳，咳声短促，痰少黏白，或痰中带血丝，或声音逐渐嘶哑，口干咽燥，或午后潮热，颧红，盗汗，日渐消瘦，神疲，舌质红少苔，脉细数,滋阴润肺，化痰止咳,沙参麦冬汤,少见,极难
肺系,哮病,冷哮证,寒痰伏肺，遇感触发，痰升气阻，肺失宣畅,喉中哮鸣如水鸡声，呼吸急促，喘憋气逆，痰少咯吐不爽，色白而多泡沫，舌苔白滑，脉弦紧或浮紧,喉中哮鸣如水鸡声，呼吸急促，喘憋气逆，胸膈满闷如塞，咳不甚，痰少咯吐不爽，色白而多泡沫，口不渴或渴喜热饮，形寒怕冷，天冷或受寒易发，面色青晦，舌苔白滑，脉弦紧或浮紧,宣肺散寒，化痰平喘,射干麻黄汤,常见,较难
肺系,哮病,热哮证,痰热蕴肺，壅阻气道，肺失清肃,喉中痰鸣如吼，喘而气粗息涌，痰色黄或白，黏浊稠厚，排吐不利，舌苔黄腻，质红，脉滑数或弦滑,喉中痰鸣如吼，喘而气粗息涌，胸高胁胀，咳呛阵作，痰色黄或白，黏浊稠厚，排吐不利，口苦，口渴喜饮，汗出，面赤，或有身热，甚至有好发于夏季者，舌苔黄腻，质红，脉滑数或弦滑,清热宣肺，化痰定喘,定喘汤,常见,较难
肺系,哮病,寒包热哮证,痰热内蕴，风寒外束，肺失宣降,喉中哮鸣有声，胸膈烦闷，呼吸急促，喘咳气逆，咳痰不爽，痰黏色黄，或黄白相兼，烦躁，发热，恶寒，无汗，身痛，口干欲饮，舌苔白腻，舌尖边红，脉弦紧,喉中哮鸣有声，胸膈烦闷，呼吸急促，喘咳气逆，咳痰不爽，痰黏色黄，或黄白相兼，烦躁，发热，恶寒，无汗，身痛，口干欲饮，舌苔白腻，舌尖边红，脉弦紧,解表散寒，清化痰热,小青龙加石膏汤,少见,较难
肺系,哮病,风痰哮证,痰浊伏肺，风邪引触，肺气郁闭，升降失司,喉中痰涎壅盛，声如拽锯，或鸣声如吹哨笛，喘急胸满，但坐不得卧，咳痰黏腻难出，或为白色泡沫痰液，舌苔厚浊，脉滑实,喉中痰涎壅盛，声如拽锯，或鸣声如吹哨笛，喘急胸满，但坐不得卧，咳痰黏腻难出，或为白色泡沫痰液，无明显寒热倾向，面色青黯，起病多急，常倏忽来去，发前自觉鼻、咽、眼、耳发痒，喷嚏，鼻塞，流涕，胸部憋塞，随之迅即发作，舌苔厚浊，脉滑实,祛风涤痰，降气平喘,三子养亲汤,少见,极难
肺系,哮病,虚哮证,哮病久发，痰气瘀阻，肺肾两虚，摄纳失常,喉中哮鸣如鼾，声低，气短息促，动则喘甚，发作频繁，甚则持续喘哮，口唇爪甲青紫，咳痰无力，痰涎清稀，舌质淡，脉沉细弱,喉中哮鸣如鼾，声低，气短息促，动则喘甚，发作频繁，甚则持续喘哮，口唇爪甲青紫，咳痰无力，痰涎清稀，面色苍白或颧红唇紫，口不渴或咽干口渴，形寒肢冷或烦热，舌质淡或偏红，脉沉细弱,补肺纳肾，降气化痰,平喘固本汤,罕见,极难
肺系,哮病,肺脾气虚证,哮病日久，肺虚不能主气，脾虚健运无权，气不化津，痰饮蕴肺，肺气上逆,气短声低，自汗怕风，易感冒，倦怠无力，食少便溏，舌质淡，苔白，脉细弱,气短声低，喉中时有轻度哮鸣，痰多质稀，色白，自汗，怕风，常易感冒，倦怠无力，食少便溏，舌质淡，苔白，脉细弱,健脾益气，补土生金,六君子汤,少见,极难
肺系,哮病,肺肾两虚证,哮病久发，精气亏乏，肺肾摄纳失常，气不归元，津凝为痰,短气息促，动则为甚，吸气不利，咳痰质黏起沫，腰酸腿软，心慌，不耐劳累，或五心烦热，颧红，口干，舌红少苔，脉细数；或畏寒肢冷，面色苍白，舌淡苔白，脉沉细,短气息促，动则为甚，吸气不利，咳痰质黏起沫，腰酸腿软，心慌，不耐劳累，或五心烦热，颧红，口干，舌红少苔，脉细数；或畏寒肢冷，面色苍白，舌淡苔白，脉沉细,补肺益肾,生脉地黄汤合金水六君煎,罕见,极难
肺系,喘证,风寒壅肺证,风寒上受，内舍于肺，邪实气壅，肺气不宣,喘息咳逆，呼吸急促，胸部胀闷，痰多稀薄而带泡沫，色白质黏，舌苔薄白而滑，脉浮紧,喘息咳逆，呼吸急促，胸部胀闷，痰多稀薄而带泡沫，色白质黏，常有头痛，恶寒，或有发热，口不渴，无汗，舌苔薄白而滑，脉浮紧,宣肺散寒,麻黄汤合华盖散,常见,一般
肺系,喘证,表寒肺热证,寒邪束表，热郁于肺，肺气上逆,喘逆上气，胸胀或痛，息粗，鼻扇，咳而不爽，吐痰稠黏，伴形寒，身热，烦闷，身痛，有汗或无汗，口渴，苔薄白或黄，舌边红，脉浮数或滑,喘逆上气，胸胀或痛，息粗，鼻扇，咳而不爽，吐痰稠黏，伴形寒，身热，烦闷，身痛，有汗或无汗，口渴，苔薄白或黄，舌边红，脉浮数或滑,解表清里，化痰平喘,麻杏石甘汤,常见,较难
肺系,喘证,痰热郁肺证,邪热蕴肺，蒸液成痰，痰热壅滞，肺失清肃,喘咳气涌，胸部胀痛，痰多质黏色黄，或夹有血色，伴胸中烦闷，身热，有汗，口渴而喜冷饮，舌质红，舌苔黄腻，脉滑数,喘咳气涌，胸部胀痛，痰多质黏色黄，或夹有血色，伴胸中烦闷，身热，有汗，口渴而喜冷饮，面赤，咽干，小便赤涩，大便或秘，舌质红，舌苔黄腻，脉滑数,清热化痰，宣肺平喘,桑白皮汤,常见,较难
肺系,喘证,痰浊阻肺证,中阳不运，积湿生痰，痰浊壅肺，肺失肃降,喘而胸满闷塞，甚则胸盈仰息，咳嗽，痰多黏腻色白，咯吐不利，兼有呕恶，食少，口黏不渴，舌苔白腻，脉滑,喘而胸满闷塞，甚则胸盈仰息，咳嗽，痰多黏腻色白，咯吐不利，兼有呕恶，食少，口黏不渴，舌苔白腻，脉滑,祛痰降逆，宣肺平喘,二陈汤合三子养亲汤,少见,较难
肺系,喘证,肺气郁痹证,肝气郁结，上逆犯肺，肺失宣降,喘促气憋，胸闷如窒，息粗气憋，胸闷胸痛，咽中如窒，每遇情志刺激而诱发，苔薄，脉弦,喘促气憋，胸闷如窒，息粗气憋，胸闷胸痛，咽中如窒，或失眠，心悸，或无痰，或痰少而黏，不易咯出，每遇情志刺激而诱发，发时突然，平素如常人，苔薄，脉弦,开郁降气平喘,五磨饮子,少见,较难
肺系,喘证,肺气虚耗证,肺气亏虚，气失所主，或肺阴亦虚，虚火上炎，肺失清肃,喘促短气，气怯声低，喉有鼾声，咳声低弱，痰吐稀薄，自汗畏风，舌质淡红，脉软弱,喘促短气，气怯声低，喉有鼾声，咳声低弱，痰吐稀薄，自汗畏风，或咳呛，痰少质黏，烦热口干，咽喉不利，面颧潮红，舌质淡红或有苔剥，脉软弱或细数,补肺益气养阴,生脉散合补肺汤,少见,极难
肺系,喘证,肾虚不纳证,肺病及肾，肺肾俱虚，气失摄纳,喘促日久，动则喘甚，呼多吸少，气不得续，形瘦神疲，汗出肢冷，面唇青紫，舌淡苔白，脉沉弱,喘促日久，动则喘甚，呼多吸少，气不得续，形瘦神疲，跗肿，汗出肢冷，面唇青紫，舌淡苔白，脉沉弱，或见喘咳，面红烦躁，口咽干燥，足冷，汗出如油，舌红少津，脉细数,补肾纳气,金匮肾气丸合参蛤散,罕见,极难
肺系,喘证,正虚喘脱证,肺气欲绝，心肾阳衰,喘逆剧甚，张口抬肩，鼻扇气促，端坐不能平卧，稍动则咳喘欲绝，或有痰鸣，心慌动悸，烦躁不安，面青唇紫，汗出如珠，脉浮大无根,喘逆剧甚，张口抬肩，鼻扇气促，端坐不能平卧，稍动则咳喘欲绝，或有痰鸣，心慌动悸，烦躁不安，面青唇紫，汗出如珠，脉浮大无根，或见歇止，或模糊不清,扶阳固脱，镇摄肾气,参附汤送服黑锡丹，配合蛤蚧粉,罕见,绝症
肺系,肺痈,初期,风热外袭，卫表不和，邪热壅肺，肺失清肃,恶寒发热，咳嗽，咳白色黏痰，痰量日渐增多，胸痛，咳则痛甚，舌苔薄黄，脉浮数而滑,恶寒发热，咳嗽，咳白色黏痰，痰量日渐增多，胸痛，咳则痛甚，呼吸不利，口干鼻燥，舌苔薄黄，脉浮数而滑,疏风散热，清肺化痰,银翘散,少见,一般
肺系,肺痈,成痈期,热毒蕴肺，蒸液成痰，热壅血瘀，蕴酿成痈,身热转甚，时时振寒，继则壮热，汗出烦躁，咳嗽气急，胸满作痛，转侧不利，咳吐浊痰，呈黄绿色，自觉喉间有腥味，舌苔黄腻，脉滑数,身热转甚，时时振寒，继则壮热，汗出烦躁，咳嗽气急，胸满作痛，转侧不利，咳吐浊痰，呈黄绿色，自觉喉间有腥味，口干咽燥，舌苔黄腻，脉滑数,清肺解毒，化瘀消痈,千金苇茎汤合如金解毒散,少见,较难
肺系,肺痈,溃脓期,热壅血瘀，血败肉腐，痈肿内溃，脓液外泄,咳吐大量脓痰，或如米粥，或痰血相兼，腥臭异常，胸中烦满而痛，甚则气喘不能卧，舌苔黄腻，脉滑数,咳吐大量脓痰，或如米粥，或痰血相兼，腥臭异常，胸中烦满而痛，甚则气喘不能卧，身热面赤，烦渴喜饮，舌苔黄腻，脉滑数,排脓解毒,加味桔梗汤,罕见,极难
肺系,肺痈,恢复期,邪毒渐尽，热势渐退，肺体损伤，阴伤气耗,身热渐退，咳嗽减轻，脓痰渐少，臭味亦淡，痰液转为清稀，精神渐振，食纳好转，舌质红或淡红，苔薄，脉细或细数,身热渐退，咳嗽减轻，脓痰渐少，臭味亦淡，痰液转为清稀，精神渐振，食纳好转，或有胸胁隐痛，难以久卧，气短，自汗，盗汗，低热，午后潮热，心烦，口干咽燥，面色不华，形体消瘦，舌质红或淡红，苔薄，脉细或细数,清养补肺,沙参清肺汤或桔梗杏仁煎,罕见,极难
肺系,肺痨,肺阴亏损证,阴虚肺燥，肺失滋润，肺伤络损,干咳，咳声短促，或咯少量黏痰，或痰中带有血丝，色鲜红，胸部隐隐闷痛，午后自觉手足心热，或见少量盗汗，舌边尖红，苔薄白，脉细数,干咳，咳声短促，或咯少量黏痰，或痰中带有血丝，色鲜红，胸部隐隐闷痛，午后自觉手足心热，或见少量盗汗，皮肤干灼，口干咽燥，疲倦乏力，纳食不香，舌边尖红，苔薄白，脉细数,滋阴润肺,月华丸,少见,较难
肺系,肺痨,虚火灼肺证,肺肾阴伤，水亏火旺，燥热内灼，络损血溢,呛咳气急，痰少质黏，或吐痰黄稠量多，时时咯血，血色鲜红，午后潮热，五心烦热，颧红，盗汗，舌红而干，苔薄黄，脉细数,呛咳气急，痰少质黏，或吐痰黄稠量多，时时咯血，血色鲜红，混有泡沫痰涎，午后潮热，五心烦热，骨蒸，两颧潮红，盗汗量多，口渴心烦，失眠，性情急躁易怒，或胸胁掣痛，男子可见遗精，女子月经不调，形体日益消瘦，舌干而红，苔薄黄而剥，脉细数,滋阴降火,百合固金汤合秦艽鳖甲散,罕见,极难
肺系,肺痨,气阴耗伤证,阴伤气耗，肺脾两虚，肺气不清，脾虚不健,咳嗽无力，气短声低，咳痰清稀色白，量较多，偶或夹血，或咯血，血色淡红，午后潮热，伴有畏风，怕冷，自汗与盗汗可并见，舌质淡，边有齿印，苔薄，脉细弱而数,咳嗽无力，气短声低，咳痰清稀色白，量较多，偶或夹血，或咯血，血色淡红，午后潮热，伴有畏风，怕冷，自汗与盗汗可并见，纳少神疲，便溏，面色?白，颧红，舌质淡，边有齿印，苔薄，脉细弱而数,益气养阴,保真汤或参苓白术散,罕见,极难
肺系,肺痨,阴阳两虚证,阴损及阳，精气虚竭，肺脾肾三脏俱损,咳逆喘息，少气，咳痰色白有沫，或夹血丝，血色暗淡，潮热，自汗，盗汗，声嘶，面浮肢肿，舌光质淡，少苔，脉微细而数,咳逆喘息，少气，咳痰色白有沫，或夹血丝，血色暗淡，潮热，自汗，盗汗，声嘶，面浮肢肿，心慌，唇紫，肢冷，形寒，或见五更泄泻，口舌生糜，大肉尽脱，男子遗精，女子经闭，苔黄而剥，舌质光淡，隐见紫斑，脉微细而数,滋阴补阳,补天大造丸,罕见,绝症
肺系,肺胀,痰浊壅肺证,肺虚脾弱，痰浊内生，上逆干肺，肺失宣降,胸膺满闷，短气喘息，稍劳即著，咳嗽痰多，色白黏腻或呈泡沫，畏风易汗，脘痞纳少，倦怠乏力，舌暗，苔薄腻或浊腻，脉小滑,胸膺满闷，短气喘息，稍劳即著，咳嗽痰多，色白黏腻或呈泡沫，畏风易汗，脘痞纳少，倦怠乏力，舌暗，苔薄腻或浊腻，脉小滑,化痰降气，健脾益肺,苏子降气汤合三子养亲汤,常见,一般
肺系,肺胀,痰热郁肺证,痰热壅肺，清肃失司，肺气上逆,咳逆，喘息气粗，胸满，烦躁，目胀睛突，痰黄或白，黏稠难咯，或伴身热，微恶寒，有汗不多，舌边尖红，苔黄或黄腻，脉数或滑数,咳逆，喘息气粗，胸满，烦躁，目胀睛突，痰黄或白，黏稠难咯，或伴身热，微恶寒，有汗不多，口渴欲饮，尿赤，便干，舌边尖红，苔黄或黄腻，脉数或滑数,清肺化痰，降逆平喘,越婢加半夏汤或桑白皮汤,常见,较难
肺系,肺胀,痰蒙神窍证,痰蒙神窍，引动肝风,神志恍惚，表情淡漠，谵妄，烦躁不安，嗜睡，甚则昏迷，或伴肢体瞤动，抽搐，舌质暗红或淡紫，苔白腻或黄腻，脉细滑数,神志恍惚，表情淡漠，谵妄，烦躁不安，嗜睡，甚则昏迷，或伴肢体瞤动，抽搐，咳逆喘促，咳痰不爽，苔白腻或黄腻，脉细滑数,涤痰，开窍，息风,涤痰汤,少见,极难
肺系,肺胀,阳虚水泛证,心肾阳虚，水饮内停,心悸，喘咳，咯痰清稀，面浮，下肢肿，甚则一身悉肿，腹部胀满有水，脘痞，纳差，尿少，怕冷，面唇青紫，舌胖质暗，苔白滑，脉沉细,心悸，喘咳，咯痰清稀，面浮，下肢肿，甚则一身悉肿，腹部胀满有水，脘痞，纳差，尿少，怕冷，面唇青紫，苔白滑，脉沉细,温肾健脾，化饮利水,真武汤合五苓散,少见,极难
肺系,肺胀,肺肾气虚证,肺肾两虚，气失摄纳,呼吸浅短难续，声低气怯，甚则张口抬肩，倚息不能平卧，咳嗽，痰白如沫，咯吐不利，胸闷，心慌，形寒，汗出，舌淡或紫暗，脉沉细无力,呼吸浅短难续，声低气怯，甚则张口抬肩，倚息不能平卧，咳嗽，痰白如沫，咯吐不利，胸闷，心慌，形寒，汗出，腰膝酸软，小便清长，或尿有余沥，舌淡或紫暗，脉沉细无力,补肺益肾，降气平喘,平喘固本汤,少见,极难
心系,心悸,心虚胆怯证,气血亏损，心虚胆怯，心神失养，神摇不安,心悸不宁，善惊易恐，坐卧不安，少寐多梦而易惊醒，恶闻声响，食少纳呆，苔薄白，脉细略数或细弦,心悸不宁，善惊易恐，坐卧不安，少寐多梦而易惊醒，恶闻声响，食少纳呆，苔薄白，脉细略数或细弦,镇惊定志，养心安神,安神定志丸,常见,一般
心系,心悸,心血不足证,心血亏虚，心失所养,心悸气短，头晕目眩，失眠健忘，面色无华，倦怠乏力，纳呆食少，舌淡红，脉细弱,心悸气短，头晕目眩，失眠健忘，面色无华，倦怠乏力，纳呆食少，舌淡红，脉细弱,补血养心，益气安神,归脾汤,常见,一般
心系,心悸,阴虚火旺证,肝肾阴虚，水不济火，心火内动，扰动心神,心悸易惊，心烦失眠，五心烦热，口干，盗汗，思虑劳心则症状加重，伴耳鸣腰酸，头晕目眩，舌红少津，苔少或无，脉象细数,心悸易惊，心烦失眠，五心烦热，口干，盗汗，思虑劳心则症状加重，伴耳鸣腰酸，头晕目眩，舌红少津，苔少或无，脉象细数,滋阴清火，养心安神,天王补心丹合朱砂安神丸,常见,较难
心系,心悸,心阳不振证,心阳虚衰，无以温养心神,心悸不安，胸闷气短，动则尤甚，面色苍白，形寒肢冷，舌淡苔白，脉象虚弱或沉细无力,心悸不安，胸闷气短，动则尤甚，面色苍白，形寒肢冷，舌淡苔白，脉象虚弱或沉细无力,温补心阳，安神定悸,桂枝甘草龙骨牡蛎汤合参附汤,少见,较难
心系,心悸,水饮凌心证,脾肾阳虚，水饮内停，上凌于心，扰乱心神,心悸，胸闷痞满，渴不欲饮，小便短少，或下肢浮肿，形寒肢冷，伴恶心，欲吐，流涎，舌淡胖，苔白滑，脉象弦滑或沉细而滑,心悸，胸闷痞满，渴不欲饮，小便短少，或下肢浮肿，形寒肢冷，伴恶心，欲吐，流涎，舌淡胖，苔白滑，脉象弦滑或沉细而滑,振奋心阳，化气行水，宁心安神,苓桂术甘汤,少见,较难
心系,心悸,瘀阻心脉证,血瘀气滞，心脉瘀阻，心阳被遏，心失所养,心悸，胸闷不适，心痛时作，痛如针刺，唇甲青紫，舌质紫暗或有瘀斑，脉涩或结或代,心悸，胸闷不适，心痛时作，痛如针刺，唇甲青紫，舌质紫暗或有瘀斑，脉涩或结或代,活血化瘀，理气通络,桃仁红花煎合桂枝甘草龙骨牡蛎汤,少见,极难
心系,心悸,痰火扰心证,痰浊停聚，郁久化火，痰火扰心，心神不安,心悸时发时止，受惊易作，胸闷烦躁，失眠多梦，口干苦，大便秘结，小便短赤，舌红，苔黄腻，脉弦滑,心悸时发时止，受惊易作，胸闷烦躁，失眠多梦，口干苦，大便秘结，小便短赤，舌红，苔黄腻，脉弦滑,清热化痰，宁心安神,黄连温胆汤,少见,较难
心系,胸痹,心血瘀阻证,血行瘀滞，胸阳痹阻，心脉不畅,心胸疼痛，如刺如绞，痛有定处，入夜为甚，甚则心痛彻背，背痛彻心，舌质紫暗，有瘀斑，苔薄，脉弦涩,心胸疼痛，如刺如绞，痛有定处，入夜为甚，甚则心痛彻背，背痛彻心，或痛引肩背，伴有胸闷，日久不愈，可因暴怒、劳累而加重，舌质紫暗，有瘀斑，苔薄，脉弦涩,活血化瘀，通脉止痛,血府逐瘀汤,常见,较难
心系,胸痹,气滞心胸证,肝失疏泄，气机郁滞，心脉不和,心胸满闷，隐痛阵发，痛有定处，时欲太息，遇情志不遂时容易诱发或加重，苔薄或薄腻，脉细弦,心胸满闷，隐痛阵发，痛有定处，时欲太息，遇情志不遂时容易诱发或加重，或兼有脘宇胀闷，得嗳气或矢气则舒，苔薄或薄腻，脉细弦,疏肝理气，活血通络,柴胡疏肝散,常见,一般
心系,胸痹,痰浊闭阻证,痰浊盘踞，胸阳失展，气机痹阻，脉络阻滞,胸闷重而心痛微，痰多气短，肢体沉重，形体肥胖，遇阴雨天而易发作或加重，苔浊腻，脉滑,胸闷重而心痛微，痰多气短，肢体沉重，形体肥胖，伴有倦怠乏力，纳呆便溏，咯吐痰涎，舌体胖大且边有齿痕，苔浊腻，脉滑,通阳泄浊，豁痰宣痹,瓜蒌薤白半夏汤合涤痰汤,常见,较难
心系,胸痹,寒凝心脉证,素体阳虚，阴寒凝滞，气血痹阻，心阳不振,猝然心痛如绞，心痛彻背，喘不得卧，多因气候骤冷或骤感风寒而发病或加重，苔薄白，脉沉紧或沉细,猝然心痛如绞，心痛彻背，喘不得卧，多因气候骤冷或骤感风寒而发病或加重，伴形寒，甚则手足不温，冷汗自出，胸闷气短，心悸，面色苍白，苔薄白，脉沉紧或沉细,辛温通阳，开痹散寒,枳实薤白桂枝汤合当归四逆汤,少见,较难
心系,胸痹,气阴两虚证,心气不足，阴血亏耗，血行瘀滞,心胸隐痛，时作时休，心悸气短，动则益甚，伴倦怠乏力，声息低微，面色?白，易汗出，舌质淡红，舌体胖且边有齿痕，苔薄白，脉虚细缓或结代,心胸隐痛，时作时休，心悸气短，动则益甚，伴倦怠乏力，声息低微，面色?白，易汗出，舌质淡红，舌体胖且边有齿痕，苔薄白，脉虚细缓或结代,益气养阴，活血通脉,生脉散合人参养荣汤,少见,较难
心系,胸痹,心肾阴虚证,水不济火，虚热内灼，心失所养，血脉不畅,心痛憋闷，心悸盗汗，虚烦不寐，腰酸膝软，头晕耳鸣，口干便秘，舌红少津，苔薄或剥，脉细数或促代,心痛憋闷，心悸盗汗，虚烦不寐，腰酸膝软，头晕耳鸣，口干便秘，舌红少津，苔薄或剥，脉细数或促代,滋阴清火，养心和络,天王补心丹合炙甘草汤,少见,极难
心系,胸痹,心肾阳虚证,阳气虚衰，胸阳不振，气机痹阻，血行瘀滞,心悸而痛，胸闷气短，动则更甚，自汗，面色?白，神倦怯寒，四肢欠温或肿胀，舌质淡胖，边有齿痕，苔白或腻，脉沉细迟,心悸而痛，胸闷气短，动则更甚，自汗，面色?白，神倦怯寒，四肢欠温或肿胀，舌质淡胖，边有齿痕，苔白或腻，脉沉细迟,温补阳气，振奋心阳,参附汤合右归饮,罕见,极难
心系,不寐,肝火扰心证,肝郁化火，上扰心神,不寐多梦，甚则彻夜不眠，急躁易怒，伴头晕头胀，目赤耳鸣，口干而苦，不思饮食，便秘溲赤，舌红苔黄，脉弦而数,不寐多梦，甚则彻夜不眠，急躁易怒，伴头晕头胀，目赤耳鸣，口干而苦，不思饮食，便秘溲赤，舌红苔黄，脉弦而数,疏肝泻火，镇心安神,龙胆泻肝汤,常见,一般
心系,不寐,痰热扰心证,湿食生痰，郁痰生热，扰动心神,心烦不寐，胸闷脘痞，泛恶嗳气，伴口苦，头重，目眩，舌偏红，苔黄腻，脉滑数,心烦不寐，胸闷脘痞，泛恶嗳气，伴口苦，头重，目眩，舌偏红，苔黄腻，脉滑数,清化痰热，和中安神,黄连温胆汤,常见,一般
心系,不寐,心脾两虚证,脾虚血亏，心神失养，神不安舍,不易入睡，多梦易醒，心悸健忘，神疲食少，伴头晕目眩，四肢倦怠，腹胀便溏，面色少华，舌淡苔薄，脉细无力,不易入睡，多梦易醒，心悸健忘，神疲食少，伴头晕目眩，四肢倦怠，腹胀便溏，面色少华，舌淡苔薄，脉细无力,补益心脾，养血安神,归脾汤,常见,一般
心系,不寐,心肾不交证,肾水亏虚，不能上济于心，心火炽盛，不能下交于肾,心烦不寐，入睡困难，心悸多梦，伴头晕耳鸣，腰膝酸软，潮热盗汗，五心烦热，咽干少津，男子遗精，女子月经不调，舌红少苔，脉细数,心烦不寐，入睡困难，心悸多梦，伴头晕耳鸣，腰膝酸软，潮热盗汗，五心烦热，咽干少津，男子遗精，女子月经不调，舌红少苔，脉细数,滋阴降火，交通心肾,六味地黄丸合交泰丸,少见,较难
心系,不寐,心胆气虚证,心胆虚怯，心神失养，神魂不安,虚烦不寐，触事易惊，终日惕惕，胆怯心悸，伴气短自汗，倦怠乏力，舌淡，脉弦细,虚烦不寐，触事易惊，终日惕惕，胆怯心悸，伴气短自汗，倦怠乏力，舌淡，脉弦细,益气镇惊，安神定志,安神定志丸合酸枣仁汤,少见,较难
