id,name,catalog,desc,gain,use,propetype,pic,
568,薄荷,（脣形科）,多年生草本，高10~80cm，有清凉浓香气。茎四稜，具四槽。叶对生，长圆状披针形。轮伞花序腋生①；花冠淡紫色②，4裂，略呈二脣形，上裂片先端微2裂。小坚果长圆形。生于小溪沟边、路旁及山野溼地等，分布于我国华北、华东、华南、华中及西南各地。,夏、秋两季茎叶茂盛或花开至三轮时，选晴天，分次采割，晒干或阴干。,全草入药。辛，凉。归肺、肝经。宣散风热，清头目，透疹。用于风热感冒，风温初起，头痛，目赤，喉痺，口疮，风疹，麻疹，胸胁胀闷。,薄荷的幼嫩茎尖可食，亦可用于提取薄荷油，制造牙膏及医药制品。,.\pic\med\薄荷_1.jpeg,2026/3/27 7:43
569,牛蒡,（菊科）,二年生草本，高1~2m，茎粗壮。基生叶丛生，叶大型，宽卵形，叶柄粗壮，茎生叶互生。头状花序排列成伞房状，总苞圆球状，总苞片多层，披针形，顶端钩状内弯①；花全为管状花，淡紫色②。瘦果具多条肋，冠毛糙毛状。生于沟谷林边、荒山草地中；栽培品主产于吉林、辽宁、黑龙江、浙江等省。,秋季果实成熟时采收果序，晒干，打下果实，除去杂质，再晒干。,果实入药，中药名为「牛蒡子」。辛、苦，寒。归肺、胃经。疏散风热，宣肺透疹，利咽散结，解毒消肿。用于风热咳嗽，斑疹不透，风疹瘙痒，疮疡肿毒。,,.\pic\med\牛蒡_1.jpeg,2026/3/27 7:43
570,菊花,,多年生草本，高20~200cm，全株有白色绒毛。叶互生，卵圆形或卵状披针形，羽状浅裂，边缘有粗大锯齿或羽裂①。头状花序单生或数个顶生或腋生，总苞片3～4层半球形，外层苞片干膜质长椭圆形，花托半球形，边缘舌状花雌性，花冠白色、黄色、淡红色或淡紫色②，管状花黄色③。瘦果不发育，无冠毛。生于田野和路旁。主产于安徽、浙江、江苏、河南等省。,9~11月花盛开时分批采收，阴干。,头状花序入药。甘、苦，微寒。归肺、肝经。散风清热，平肝明目，降压。用于风热感冒，头痛眩晕，耳鸣，目赤肿痛，眼目昏花，疔疮，肿毒，结膜炎，高血压病。,,.\pic\med\菊花_1.jpeg,2026/3/27 7:43
571,柴胡,（伞形科）,多年生草本，高40～90cm，茎上部多分枝，常呈「之」字形弯曲①。基生叶狭椭圆形，茎生叶互生，披针形，叶脉平行②。复伞形花序，多呈圆锥状，小总苞片5枚，披针形，花瓣5枚，黄色③。双悬果宽椭圆形④，两侧压扁。生于较干燥的山坡、林中空隙地、草丛、路边、沟边等地。分布于吉林、辽宁、河北、河南、山东等省。,春、秋两季采挖。除去茎、叶及泥沙，晒干。,根入药，中药名为「北柴胡」。苦，微寒。归肝、胆经。和表解里，疏肝，升阳。用于感冒发热，寒热往来，胸胁胀痛，月经不调，子宫脱垂，脱肛。,,.\pic\med\柴胡_1.jpeg,2026/3/27 7:43
572,牡荆,（马鞭草科）,落叶灌木或小乔木，高60～80cm，小枝四方形。叶对生，掌状5出复叶，小叶片边缘有多数锯齿①，两面绿色。圆锥状花序顶生，花萼钟形，顶端有5齿裂，花冠淡紫色②，顶端有5裂片。核果褐色。生于山坡路旁。分布于我国长江以南各地。,夏、秋两季叶茂盛时采收牡荆叶，除去茎枝，晒干。,叶入药，中药名为「牡荆叶」。微苦，凉，平，归肺经。解表，除溼，止痢，止痛。用于感冒，中暑，胃痛，痢疾，腹泻，吐泻，痈肿及气管炎。果实亦可入药称「黄荆子」，用于支气管炎，疟疾，肝炎。,,.\pic\med\牡荆_1.jpeg,2026/3/27 7:43
573,一枝黄花,（菊科）,多年生草本。高15~70cm，根茎粗短，具多条细而弯曲的根，外皮灰褐色。茎直立，单一，具纵稜，基部通常木质化，表面带紫红色，上部有分枝，顶端有细毛。单叶互生，基部有叶柄，上部叶柄渐短或无柄，叶片卵圆形、长圆形或披针形，基部楔形下延至叶柄，边缘具尖锐锯齿，上部叶锯齿渐疏或近全缘，有睫毛。头状花序整合总状或圆锥状①，总苞钟形，边缘草质，有毛，覆瓦状排列，花黄色②。瘦果圆柱形，近无毛，冠毛白色。生于山坡、草地、路旁。产于我国华东、中南、西南。,夏秋季节采收，洗净，晒干。,全草入药。归肝、胆经。苦，温。疏风清热，解毒消肿。用于感冒头痛，咽喉炎，扁桃体炎，跌打损伤，毒蛇咬伤，痈疥肿毒。,,.\pic\med\一枝黄花_1.jpeg,2026/3/27 7:43
574,兴安升麻,（毛茛科）,多年生草本，高10~80cm，下部茎生叶为二至三回三出复叶；顶生小叶宽菱形，边缘有不规则锯齿，侧生小叶长椭圆形，边缘具不规则锯齿，复总状花序；花单性，雌雄异株，雄性花序大，雌性花序稍小，花序轴和花梗被灰色腺毛和短柔毛；萼片5，花瓣状，白色，宽椭圆形或宽倒卵形，无花瓣；雄蕊多数，心皮4~7，种子椭圆形，褐色，四周有膜质鳞翅，中央有横鳞翅。生于山地、林缘、林中或山坡草地。分布于黑龙江、吉林、辽宁、河北、湖北、四川等地。,秋季采挖，除去泥沙，晒至须根干时，燎去或除去须根，晒干。,辛、微甘，微寒。归肺、脾、胃、大肠经。升阳举陷，清热解毒，发表透疹。主治中气下陷，脾虚泄泻，久痢下重，妇女带下，崩中；时疫火毒，口疮，咽痛，斑疹；头痛寒热，痈肿疮毒。,,.\pic\med\兴安升麻_1.jpeg,2026/3/27 7:43
575,葛根,（豆科）,藤本。长约10m，块根肥大，全株被黄色长硬毛，三出复叶①，顶生小叶菱状卵形。总状花序腋生；花密集，花冠紫红色②。荚果条形，扁平，密生黄色长硬毛。生于山坡草丛、路旁、疏林中阴溼处。主产于湖南、浙江、河南、广东等省。,秋、冬两季采挖，趁鲜切成厚片或小块，干燥。,性凉，味甘、辛。归脾、胃经。解肌退热，生津，透疹，升阳止泻。用于外感发热头痛，高血压颈项强痛，口渴，消渴，麻疹不透，热痢，泄泻。,,.\pic\med\葛根_1.jpeg,2026/3/27 7:43
576,蒺藜,（蒺藜科）,一年生草本。高30~50cm，偶数羽状复叶①，互生或对生，小叶长圆形，托叶小，披针形。花单生于叶腋，萼片5，宿存。花瓣5，黄色②。雄蕊10，生于花盘基部，5枚花丝较短的基部有鳞片状腺体。子房5稜，果由5个分果瓣组成，扁球形，每果瓣具刺，背面有硬毛和瘤状突起。种子2~3粒。生于田野、路旁及河边草丛。分布于河南、河北、山东、安徽、江苏、四川、山西、陕西等地。,秋季果实成熟时，将全株割下，晒干，打下果实，碾去硬刺，簸净杂质。,苦、辛，平。归肝经。散风，明目，下气，行血。治头痛，身痒，目赤肿翳，胸满，咳逆，症瘕，乳难，痈疽，瘰癧。,,.\pic\med\蒺藜_1.jpeg,2026/3/27 7:43
577,青葙,（苋科）,一年生草本，高60~100cm，全株无毛。单叶互生，穗状花序呈圆柱形或圆锥形；花着生甚密①，花初开时淡红色，后变银白色②，苞片，小苞片和花被片膜质，白色或粉红色，胞果盖裂；种子扁圆形，黑色，有光泽。生于田间、山坡、荒地上。分布于全国各地。,秋季果实成熟时采割植物或摘取果穗，晒干，收集种子，除去杂质。,性微寒，味苦。归肺、脾、胃、大肠经。祛风热，清肝，明目退翳。用于肝热目赤，眼生翳膜，视物昏花，肝火眩晕。注意：肝肾阴虚之目疾及青光眼患者忌用。,,.\pic\med\青葙_1.jpeg,2026/3/27 7:43
578,大豆,（豆科）,一年生草本，高50~150cm。茎多分枝密生黄褐色长硬毛。三出复叶①，叶柄长达20cm，密生黄色长硬毛；小叶卵形、广卵形或狭卵形，两侧的小叶通常为狭卵形，长5~15cm，宽3.0~8.5cm；旗瓣倒卵形，翼瓣长椭圆形，龙骨瓣斜倒卵形。荚果带状矩形，黄绿色或黄褐色，密生长硬毛，长5~7cm，宽约1cm。种子2~4粒，卵圆形或近球形。花期6~7月，果期7~9月。全国各地均有栽培。,夏季或初秋采收成熟果实，取桑叶、青蒿各70~100g，加水煎煮，滤过，煎液拌入净大豆1000g中，俟吸尽后，蒸透，取出，稍凉，再置容器内，用煎过的桑叶、青蒿渣覆盖，闷使发酵至黄衣上遍时，取出，除去药渣，洗净，置容器内再闷15~20天，至充分发酵、香气溢位时，取出，略蒸，干燥，即得。,发酵过后的种子入药，中药名为「淡豆豉」。苦、辛，凉。解表除烦，宣发郁热。用于感冒、寒热头痛，烦躁胸闷，虚烦不眠。,,.\pic\med\大豆_1.jpeg,2026/3/27 7:43
